Country Initials	Organisation	Network	PPCI&N	Abrev. Net. Name	Net. Type	MCC	MNC	SIM	"Last Update				"
AND	Servei De Telecomunicacions dAndorra	ANDORRA TELECOM	ANDORRA-MOBILAND	M-AND	GSM 900	213	03	8937603	"2015-05-05				"
AND	Servei De Telecomunicacions dAndorra	ANDORRA TELECOM	ANDORRA-MOBILAND	M-AND	3G 900	213	03	8937603	"2015-05-05				"
AND	Servei De Telecomunicacions dAndorra	ANDORRA TELECOM	ANDORRA-MOBILAND	M-AND	LTE 800	213	03	8937603	"2015-05-05				"
AND	Servei De Telecomunicacions dAndorra	ANDORRA TELECOM	ANDORRA-MOBILAND	M-AND	GSM 1800	213	03	8937603	"2015-05-05				"
ANT	Curaçao Telecom N.V.	Digicel Curacao	Digicel	Digicel	GSM 900	362	69	8959969	"2015-06-11				"
ANT	Curaçao Telecom N.V.	Digicel Curacao	Digicel	Digicel	GSM 1800	362	69	8959969	"2015-06-11				"
ANT	Setel N.V.	UTS Wireless Curacao	CHIPPIE	CHIPPIE	GSM 900	362	91	8959991	"2014-10-03				"
ANT	Telcell N.V.	Telcell N.V.	Telcell GSM	Telcell	GSM 900	362	51	8959951	"2001-10-25				"
ANT	Telefonia Bonairiano NV (Telbo)	Kla	Kla	Kla	3G 900	362	78	8936278	"2015-05-28				"
ANT	Telefonia Bonairiano NV (Telbo)	Kla	Kla	Kla	LTE 1800	362	78	8936278	"2015-05-28				"
ARE	Emirates Integrated Telecommunications Company PJSC	du	du	du	GSM 900	424	03	8997103	"2012-07-05				"
ARE	Emirates Integrated Telecommunications Company PJSC	du	du	du	3G 2100	424	03	8997103	"2012-07-05				"
ARE	Emirates Integrated Telecommunications Company PJSC	du	du	du	GSM 1800	424	03	8997103	"2012-07-05				"
ARE	Emirates Telecom Corp-ETISALAT	ETISALAT	ETISALAT	ETISALAT	3G 2100	424	02	899711	"2012-07-05				"
ARE	Emirates Telecom Corp-ETISALAT	ETISALAT	ETISALAT	ETISALAT	GSM 900	424	02	899711	"2013-08-06				"
ARG	AMX Argentina S.A.	CLARO ARGENTINA	CLARO ARGENTINA	CLARO AR	GSM 1900	722	310	8954310	"2015-06-11				"
ARG	AMX Argentina S.A.	CLARO ARGENTINA	CLARO ARGENTINA	CLARO AR	GSM 850	722	310	8954310	"2015-06-11				"
ARG	Telecom Personal S.A.	Personal	AR PERSONAL	AR TP	GSM 1900	722	36	8954341	"2015-06-11				"
ARG	Telecom Personal S.A.	Personal	AR PERSONAL	AR TP	GSM 850	722	34	8954341	"2015-06-11				"
ARG	Telefónica Móviles Argentina S.A.	Telefonica MVNO	AR - TEFMVNO	TEFMVNO	GSM 850	722	010	 895401	"2015-06-11				"
ARG	Telefónica Móviles Argentina S.A.	Telefónica Móviles Argentina S.A.	AR - Movistar	Movistar	GSM 1900	722	07	895407	"2015-06-11				"
ARM	Armenia Telephone Company ("Armentel") Joint Venture	ARMGSM	Beeline AM	Beeline	GSM 900	283	01	8937401	"2015-06-29				"
ARM	Armenia Telephone Company ("Armentel") Joint Venture	ARMGSM	Beeline AM	Beeline	GSM 1800	283	01	8937401	"2015-06-29				"
ARM	K Telecom Closed Joint-Stock Company	MTS Armenia	MTS ARM	MTS Arm	GSM 1800	283	05	8937405	"2012-02-21				"
ARM	K Telecom Closed Joint-Stock Company	MTS Armenia	MTS ARM	MTS Arm	3G 2100	283	05	8937405	"2012-07-05				"
ARM	K Telecom Closed Joint-Stock Company	MTS Armenia	MTS ARM	MTS Arm	GSM 900	283	05	8937405	"2012-02-21				"
ARM	K Telecom Closed Joint-Stock Company	MTS Armenia	MTS ARM	MTS Arm	3G 1900	283	05	8937405	"2012-07-05				"
ARM	Orange Armenia CJSC	Orange	Orange AM	Orange	3G 900	283	10	8937410	"2012-03-26				"
ARM	Orange Armenia CJSC	Orange	Orange AM	Orange	GSM 900	283	10	8937410	"2012-03-26				"
ARM	Orange Armenia CJSC	Orange	Orange AM	Orange	GSM 1800	283	10	8937410	"2012-03-26				"
ARM	Orange Armenia CJSC	Orange	Orange AM	Orange	3G 2100	283	10	8937410	"2012-03-26				"
ASM	"American Samoa License	 Incorporated"	BLUESKY	Bluesky Communications	BLUESKY	GSM 850	544	110	891684	"2012-05-02			"
ASM	"American Samoa License	 Incorporated"	BLUESKY	Bluesky Communications	BLUESKY	3G 850	544	110	891684	"2012-03-26			"
ASM	"American Samoa License	 Incorporated"	BLUESKY	Bluesky Communications	BLUESKY	GSM 1900	544	110	891684	"2012-05-02			"
ATG	Antigua Public Utilities Authority (APUA)	APUA imobile	APUA imobile	imobile	GSM 1900	344	030	8901030	"2012-02-21				"
ATG	Antigua Wireless Ventures Limited	Digicel Antigua & Barbuda	Cingular	Cingular	GSM 900	344	930	891380	"2015-02-04				"
ATG	Cable & Wireless Antigua & Barbuda Ltd	LIME	LIME	LIME	GSM 850	344	920	8901011	"2012-05-18				"
AUS	SingTel Optus Pty Limited	YES OPTUS	Optus AU	Optus	3G 900	505	02	896102	"2015-06-11				"
AUS	SingTel Optus Pty Limited	YES OPTUS	Optus AU	Optus	LTE 700	505	02	896102	"2015-06-11				"
AUS	SingTel Optus Pty Limited	YES OPTUS	Optus AU	Optus	3G 2100	505	02	896102	"2015-06-11				"
AUS	SingTel Optus Pty Limited	YES OPTUS	Optus AU	Optus	GSM 1800	505	02	896102	"2015-06-11				"
AUS	SingTel Optus Pty Limited	YES OPTUS	Optus AU	Optus	GSM 900	505	02	896102	"2015-06-11				"
AUS	Telstra Corporation Limited	Telstra MobileNet	Telstra Mobile	Telstra	3G 2100	505	01	896101	"2014-07-21				"
AUS	Telstra Corporation Limited	Telstra MobileNet	Telstra Mobile	Telstra	GSM 1800	505	01	896101	"2014-07-21				"
AUS	Telstra Corporation Limited	Telstra MobileNet	Telstra Mobile	Telstra	LTE 1800	505	01	896101	"2014-07-21				"
AUS	Telstra Corporation Limited	Telstra MobileNet	Telstra Mobile	Telstra	GSM 900	505	01	896101	"2014-07-21				"
AUS	Telstra Corporation Limited	Telstra MobileNet	Telstra Mobile	Telstra	3G 850	505	01	896101	"2014-07-21				"
AUS	Vodafone Hutchison Australia Pty Limited	Hutchison 3G Australia Pty	3TELSTRA	3TELSTRA	3G 2100	505	06	896106	"2015-06-11				"
AUS	Vodafone Hutchison Australia Pty Limited	Vodafone	vodafone AU	voda AU	GSM 1800	505	03	896103	"2015-06-11				"
AUS	Vodafone Hutchison Australia Pty Limited	Vodafone	vodafone AU	voda AU	GSM 900	505	03	896103	"2015-06-11				"
AUT	A1 Telekom Austria AG 	A1	A1	A1	3G 2100	232	01	894301	"2015-02-04				"
AUT	A1 Telekom Austria AG 	A1	A1	A1	LTE 2600	232	01	894301	"2015-02-04				"
AUT	A1 Telekom Austria AG 	A1	A1	A1	LTE 800	232	01	894301	"2015-02-04				"
AUT	A1 Telekom Austria AG 	A1	A1	A1	GSM 1800	232	01	894301	"2015-02-04				"
AUT	A1 Telekom Austria AG 	A1	A1	A1	GSM 900	232	01	894301	"2015-02-04				"
AUT	A1 Telekom Austria AG 	yesss!	yesss!	yesss!	GSM 900	232	12	894301	"2015-02-04				"
AUT	A1 Telekom Austria AG 	yesss!	yesss!	yesss!	3G 2100	232	12	894301	"2015-02-04				"
AUT	A1 Telekom Austria AG 	yesss!	yesss!	yesss!	GSM 1800	232	12	894301	"2015-02-04				"
AUT	Hutchison Drei Austria GmbH	Drei	3 AT	3 AT	LTE 1800 	232	10	894310	"2015-06-11				"
AUT	Hutchison Drei Austria GmbH	Drei	3 AT	3 AT	3G 2100	232	10	894310	"2015-06-11				"
AUT	Hutchison Drei Austria GmbH	Drei	3 AT	3 AT	GSM 1800	232	05	894305	"2015-06-11				"
AUT	Hutchison Drei Austria GmbH	Drei	3 AT	3 AT	LTE 2600	232	10	894310	"2015-06-11				"
AUT	Hutchison Drei Austria GmbH	Drei	3 AT	3 AT	3G 2100	232	05	894305	"2015-06-11				"
AUT	Hutchison Drei Austria GmbH	Drei	3 AT	3 AT	LTE 2600	232	05	894305	"2015-06-11				"
AUT	Hutchison Drei Austria GmbH	Drei	3 AT	3 AT	GSM 900	232	05	894305	"2015-06-11				"
AUT	Hutchison Drei Austria GmbH	Drei	3 AT	3 AT	LTE 1800	232	05	894305	"2015-06-11				"
AUT	T-Mobile Austria GmbH	T-Mobile Austria	T-Mobile A	TMA	GSM 1800	232	03	894303	"2014-05-08				"
AUT	T-Mobile Austria GmbH	T-Mobile Austria	T-Mobile A	TMA	3G 2100	232	03	894303	"2014-05-08				"
AUT	T-Mobile Austria GmbH	T-Mobile Austria	T-Mobile A	TMA	GSM 900	232	03	894303	"2014-05-08				"
AUT	T-Mobile Austria GmbH	Tele-ring	telering	telering	3G 2100	232	07	894307	"2014-05-08				"
AUT	T-Mobile Austria GmbH	Tele-ring	telering	telering	GSM 900	232	07	894307	"2014-05-08				"
AUT	T-Mobile Austria GmbH	Tele-ring	telering	telering	GSM 1800	232	07	894307	"2014-05-08				"
AZE	Azercell Telecom LLC	AZERCELL GSM	AZEAC	Azercell	3G 2100	400	01	8999401	"2015-06-15				"
AZE	Azercell Telecom LLC	AZERCELL GSM	AZEAC	Azercell	GSM 900	400	01	8999401	"2015-06-15				"
AZE	Azerfon LLC	Nar Mobile	AZ Nar	Nar	GSM 1800	400	04	8999404	"2012-02-23				"
AZE	Azerfon LLC	Nar Mobile	AZ Nar	Nar	3G 2100	400	04	8999404	"2012-07-05				"
AZE	Bakcell Limited Liable Company	Bakcell LLC	BAKCELL AZ	BAKCELL	3G 2100	400	02	8999455	"2014-04-17				"
AZE	Bakcell Limited Liable Company	Bakcell LLC	BAKCELL AZ	BAKCELL	GSM 1800	400	02	8999455	"2014-04-17				"
AZE	Bakcell Limited Liable Company	Bakcell LLC	BAKCELL AZ	BAKCELL	GSM 900	400	02	8999455	"2014-04-17				"
BDI	Africell PLC Company	AFRICELL PLC COMPANY	BDI TEMPO-AFRICELL	TEMPO-AF	GSM 900	642	02	8925702	"2012-03-28				"
BDI	Lacell SU	Smart Mobile	SMART	SMART	GSM 1800	642	07	8925707	"2009-05-25				"
BDI	Onatel	ONATEL	ONATEL BDI	ONATEL	GSM 900	642	03	8964203	"2005-07-07				"
BDI	U-Com Burundi S.A.	U-COM Burundi	TELECEL-BDI	BDITL	GSM 900	642	82	8925782	"2014-08-15				"
BEL	BASE Company NV/SA	Base	Base Company	BE	LTE 1800	206	20	8932030	"2015-06-12				"
BEL	BASE Company NV/SA	Base	Base Company	BE	GSM 1800	206	20	8932030	"2015-06-12				"
BEL	BASE Company NV/SA	Base	Base Company	BE	3G 2100	206	20	8932030	"2015-06-12				"
BEL	BASE Company NV/SA	Base	Base Company	BE	GSM 900	206	20	8932030	"2015-06-12				"
BEL	Mobistar S.A.	Mobistar	MOBISTAR	BELMO	GSM 900	206	10	20610	"2015-06-12				"
BEL	Mobistar S.A.	Mobistar	MOBISTAR	BELMO	3G 2100	206	10	20610	"2015-06-12				"
BEL	Mobistar S.A.	Mobistar	MOBISTAR	BELMO	GSM 1800	206	10	20610	"2015-06-12				"
BEL	Proximus PLC	Proximus	Proximus Bel	Proximus	GSM 1800	206	01	20601	"2015-06-12				"
BEL	Proximus PLC	Proximus	Proximus Bel	Proximus	3G 2100	206	01	20601	"2015-06-12				"
BEL	Proximus PLC	Proximus	Proximus Bel	Proximus	GSM 900	206	01	20601	"2015-06-12				"
BEN	Bell Benin Communications (BBCOM)	Bell Benin Communication BBCOM	BELL BENIN COMMUNICATION	BBCOM	GSM 900	616	04	8922904	"2012-01-31				"
BEN	Bell Benin Communications (BBCOM)	Bell Benin Communication BBCOM	BELL BENIN COMMUNICATION	BBCOM	GSM 1800	616	04	8922904	"2012-01-31				"
BEN	Etisalat Benin SA	ETISALAT BENIN	ETISALAT BENIN	ETISALAT	GSM 900	616	02	8922902	"2012-01-25				"
BEN	Glomobile Benin Limited	GloBenin	GloBenin	GloBenin	GSM 900	616	05	8922905	"2007-12-11				"
BEN	Glomobile Benin Limited	GloBenin	GloBenin	GloBenin	GSM 1800	616	05	8922905	"2007-12-11				"
BEN	Spacetel-Benin	MTN BENIN	MTN BENIN	MTNBENIN	GSM 1800	616	03	8922903	"2015-02-25				"
BEN	Spacetel-Benin	MTN BENIN	MTN BENIN	MTNBENIN	GSM 900	616	03	8922903	"2015-02-25				"
BFA	Airtel Burkina Faso S.A	Airtel	Airtel	Airtel	GSM 900	613	02	8922602	"2014-07-21				"
BGD	Airtel Bangladesh Limited	Airtel	Airtel	Airtel	GSM 1800	470	07	8947007	"2013-02-20				"
BGD	Bangladesh Internet Exchange Limited	BIEL 4G	BGD-BIEL	BIEL 4G	LTE 2600	470	09	8988009	"2015-04-07				"
BGD	Bangladesh Internet Exchange Limited	BIEL 4G	BGD-BIEL	BIEL 4G	LTE 800	470	09	8988009	"2015-04-07				"
BGD	Banglalink Digital Communications Ltd.	Banglalink	BGD BL	BGDBL	GSM 900	470	03	8988033	"2015-04-28				"
BGD	Grameenphone Ltd	grameenphone	Grameenphone	Grameen	GSM 900	470	001	898801	"2015-06-12				"
BGD	Grameenphone Ltd	grameenphone	Grameenphone	Grameen	GSM 1800	470	001	898801	"2015-06-12				"
BGD	Robi Axiata Limited	Robi	BGD ROBI AXIATA	ROBI	GSM 900	470	0	8988002	"2014-07-02				"
BGD	Teletalk Bangladesh Limited	Teletalk Bangladesh Ltd	BGD bMobile	bMobile	GSM 900	470	04	8947015	"2012-04-24				"
BGR	Bulgarian Telecommunications Company EAD	Vivacom	Vivacom	Vivacom	GSM 900	284	03	8935903	"2012-04-24				"
BGR	Bulgarian Telecommunications Company EAD	Vivacom	Vivacom	Vivacom	GSM 1800	284	03	8935903	"2012-04-24				"
BGR	Bulgarian Telecommunications Company EAD	Vivacom	Vivacom	Vivacom	3G 2100	284	03	8935903	"2012-04-19				"
BGR	Bulgarian Telecommunications Company EAD	Vivacom	Vivacom	Vivacom	3G 900	284	03	8935903	"2012-04-19				"
BGR	Mobiltel EAD	Mobiltel EAD	Mtel	Mtel	GSM 1800	284	01	8935901	"2015-04-28				"
BGR	Mobiltel EAD	Mobiltel EAD	Mtel	Mtel	GSM 900	284	01	8935901	"2015-04-28				"
BGR	Mobiltel EAD	Mobiltel EAD	Mtel	Mtel	3G 900	284	01	8935901	"2015-04-28				"
BGR	Mobiltel EAD	Mobiltel EAD	Mtel	Mtel	3G 2100	284	01	8935901	"2015-04-28				"
BGR	Telenor Bulgaria EAD	Telenor	Telenor BG	Telenor	3G 2100	284	05	8935905	"2015-02-04				"
BGR	Telenor Bulgaria EAD	Telenor	Telenor BG	Telenor	3G 900	284	05	8935905	"2015-02-04				"
BGR	Telenor Bulgaria EAD	Telenor	Telenor BG	Telenor	GSM 900	284	05	8935905	"2015-02-04				"
BGR	Telenor Bulgaria EAD	Telenor	Telenor BG	Telenor	GSM 1800	284	05	8935905	"2015-02-04				"
BHR	Bahrain Telecommunications Company (B.S.C.)	BATELCO	BATELCO	BATELCO	GSM 900	426	01	8997301	"2001-07-31				"
BHR	Viva Bahrain B.S.C Closed	VIVA	VIVA BH	VIVA BH	3G 2100	426	04	8997304	"2015-02-04				"
BHR	Viva Bahrain B.S.C Closed	VIVA	VIVA BH	VIVA BH	GSM 1800	426	04	8997304	"2015-02-04				"
BHR	Zain Bahrain B.S.C	Zain BH	Zain BH	Zain BH	GSM 1800	426	02	8997302	"2012-04-25				"
BHR	Zain Bahrain B.S.C	Zain BH	Zain BH	Zain BH	3G 2100	426	02	8997302	"2012-07-05				"
BHR	Zain Bahrain B.S.C	Zain BH	Zain BH	Zain BH	GSM 900	426	02	8997302	"2012-04-25				"
BHS	The Bahamas Telecommunications Company Ltd.	The Bahamas Telecommunications Company Ltd	BTC	BTC	GSM 1900	364	39	891282	"2014-10-31				"
BHS	The Bahamas Telecommunications Company Ltd.	The Bahamas Telecommunications Company Ltd	BTC	BTC	3G 850	364	39	891282	"2014-10-31				"
BIH	BH Telecom JSC Sarajevo	BH Mobile	BH Mobile	BHMobile	GSM 900	218	90	8938701	"2012-07-05				"
BIH	BH Telecom JSC Sarajevo	BH Mobile	BH Mobile	BHMobile	3G 2100	218	90	8938701	"2012-12-19				"
BIH	BH Telecom JSC Sarajevo	BH Mobile	BH Mobile	BHMobile	GSM 1800	218	90	8938701	"2012-07-05				"
BIH	Public Enterprise Croatian Telecom JSC	Croatian Telecom Inc	HT HR	HT HR	GSM 900	219	01	8938598	"2015-03-12				"
BIH	RS Telecommunications  JSC Banja Luka	m:tel	m:tel	m:tel	GSM 1800	218	05	8938705	"2014-12-16				"
BIH	RS Telecommunications  JSC Banja Luka	m:tel	m:tel	m:tel	3G 2100	218	05	8938705	"2014-12-16				"
BIH	RS Telecommunications  JSC Banja Luka	m:tel	m:tel	m:tel	GSM 900	218	05	8938705	"2014-12-16				"
BLR	Belarusian Telecommunications Network CJSC	Belarusian Telecommunications Network CJSC	life:) BY	life:)BY	GSM 900	257	04	8937503	"2014-06-13				"
BLR	Belarusian Telecommunications Network CJSC	Belarusian Telecommunications Network CJSC	life:) BY	life:)BY	3G 2100	257	04	8937503	"2014-06-13				"
BLR	Belarusian Telecommunications Network CJSC	Belarusian Telecommunications Network CJSC	life:) BY	life:)BY	GSM 1800	257	04	8937503	"2014-06-13				"
BLR	JLLC Mobile TeleSystems	MTS	MTS BY	MTS	GSM 900	257	02	8937502	"2004-04-13				"
BLR	JLLC Mobile TeleSystems	MTS	MTS BY	MTS	GSM 1800	257	02	8937502	"2004-04-13				"
BLR	Unitary enterprise velcom	VELCOM	BY VELCOM	VELCOM	GSM 900	257	01	8937501	"2014-05-07				"
BLR	Unitary enterprise velcom	VELCOM	BY VELCOM	VELCOM	GSM 1800	257	01	8937501	"2014-05-07				"
BLZ	Belize Telemedia Limited	Belize Telecommunications	BTL	BTL	GSM 1900	702	67	8950167	"2012-05-09				"
BMU	Bermuda Digital Communications Ltd.	CELLONE	CELLONE	CELLONE	3G 850	350	000	891351	"2012-10-03				"
BMU	Bermuda Digital Communications Ltd.	CELLONE	CELLONE	CELLONE	GSM 1900	350	000	891351	"2012-10-03				"
BMU	Telecommunications (Bermuda & West Indies) Ltd.	Digicel Bermuda	Cingular	Cingular	3G 2100	350	010	89310380	"2014-10-07				"
BMU	Telecommunications (Bermuda & West Indies) Ltd.	Digicel Bermuda	Cingular	Cingular	GSM 1900	350	010	89310380	"2014-10-07				"
BOL	Entel S.A.	Entel	BOMOV	EMOVIL	3G 850	736	02	8959102	"2012-12-17				"
BOL	Entel S.A.	Entel	BOMOV	EMOVIL	GSM 900	736	02	8959102	"2004-04-13				"
BOL	Entel S.A.	Entel	BOMOV	EMOVIL	GSM 1800	736	02	8959102	"2004-04-13				"
BOL	Nuevatel PCS de Bolivia S.A.	Nuevatel PCS De Bolivia	VIVA	VIVA	GSM 1900	736	01	8959101	"2015-04-28				"
BOL	Telefonica Celular de Bolivia S.A.	TIGO BOLIVIA	TIGO	TIGO	GSM 850	736	03	8959103	"2014-06-03				"
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	GSM 1800	724	32	895000	"2014-05-07				"
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	GSM 900	724	33	895533	"2014-05-07				"
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	GSM 1800	724	33	895533	"2014-05-07				"
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	GSM 1800	724	34	895534	"2014-05-07				"
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	GSM 900	724	34	895534	"2014-05-07				"
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	GSM 900	724	32	895000	"2014-05-07				"
BRA	Claro S.A	Claro	Claro	Claro	LTE 2600	724	05	8955053	"2014-06-13				"
BRA	Claro S.A	Claro	Claro	Claro	3G 2100	724	05	8955053	"2014-06-13				"
BRA	Claro S.A	Claro	Claro	Claro	GSM 1800	724	05	8955050	"2014-06-13				"
BRA	Claro S.A	Claro	Claro	Claro	3G 850	724	05	8955053	"2014-06-13				"
BRA	Claro S.A	Claro	Claro	Claro	GSM 900	724	05	8955050	"2014-06-13				"
BRA	Nextel Serviços de Telecomunicações Ltda	Nextel Brasil	Nextel Brasil	Nextel	3G 1900	724	39	895563	"2014-07-02				"
BRA	Nextel Serviços de Telecomunicações Ltda	Nextel Brasil	Nextel Brasil	Nextel	3G 2100	724	39	895563	"2014-07-02				"
BRA	Oi Móvel S.A	Oi	Oi	Oi	GSM 900	724	24	895524	"2014-06-09				"
BRA	Oi Móvel S.A	Oi	Oi	Oi	GSM 1800	724	31	895531	"2014-06-09				"
BRA	Oi Móvel S.A	Oi	Oi	Oi	GSM 1800	724	16	895516	"2014-06-09				"
BRA	Oi Móvel S.A	Oi	Oi	Oi	GSM 1800	724	24	895524	"2014-06-09				"
BRA	Sercomtel S.A.	Sercomtel Celular S/A	BRA SCTL	SCTL	GSM 900	724	15	895515	"2012-05-18				"
BRA	Sercomtel S.A.	Sercomtel Celular S/A	BRA SCTL	SCTL	3G 850	724	15	895515	"2012-05-23				"
BRA	Sercomtel S.A.	Sercomtel Celular S/A	BRA SCTL	SCTL	GSM 1800	724	15	895515	"2012-05-18				"
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	3G 2100	724	04	8955	"2014-10-07				"
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	3G 850	724	02	8955	"2014-10-07				"
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	3G 850	724	04	8955	"2014-10-07				"
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	GSM 1800	724	04	8955	"2014-10-07				"
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	GSM 1800	724	02	8955	"2014-10-07				"
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	3G 2100	724	02	8955	"2014-10-07				"
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	3G 2100	724	03	8955	"2014-10-07				"
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	GSM 1800	724	03	8955	"2014-10-07				"
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	3G 850	724	03	8955	"2014-10-07				"
BRA	Vivo S.A.	Vivo	VIVO	VIVO	GSM 1900	724	06	895506	"2014-11-18				"
BRA	Vivo S.A.	Vivo	VIVO	VIVO	3G 850	724	10	895510	"2014-11-18				"
BRA	Vivo S.A.	Vivo	VIVO	VIVO	3G 2100	724	10	895510	"2014-11-18				"
BRA	Vivo S.A.	Vivo	VIVO	VIVO	GSM 900	724	11	895511	"2014-11-18				"
BRA	Vivo S.A.	Vivo	VIVO	VIVO	GSM 850	724	23	895523	"2014-11-18				"
