AAA	OnAir Switzerland Sarl	ONAIR	OnAir1	OnAir	1800 (GSM)	901	15		8988298	2014-12-02
ANT	Cura?ao Telecom N.V.	Digicel Curacao	Digicel	Digicel	1800 (GSM)	362	69	6	8959996	2014-05-21
ANT	Setel N.V.	UTS Wireless Curacao	CHIPPIE	CHIPPIE	900 (GSM)	362	91	7	8959991	2014-10-03
ANT	Telcell N.V.	Telcell N.V.	Telcell GSM	Telcell	900 (GSM)	362	51		8959951	2001-10-25
ANT	Telefonia Bonairiano NV (Telbo)	Kla	Kla	Kla	900 (GSM)	362	78		8936278	2014-05-21
ANT	Telefonia Bonairiano NV (Telbo)	Kla	Kla	Kla	1900 (3G)	362	78		8936278	2014-05-21
ANT	Telefonia Bonairiano NV (Telbo)	Kla	Kla	Kla	2100 (3G)	362	78		8936278	2014-05-21
ARE	Emirates Integrated Telecommunications Company PJSC	du	du	du	2100 (3G)	424	03		8997103	2012-07-05
ARE	Emirates Integrated Telecommunications Company PJSC	du	du	du	1800 (GSM)	424	03	"5,7"	8997103	2012-07-05
ARE	Emirates Integrated Telecommunications Company PJSC	du	du	du	900 (GSM)	424	03	"5,7"	8997103	2012-07-05
ARE	Emirates Telecom Corp-ETISALAT	ETISALAT	ETISALAT	ETISALAT	2100 (3G)	424	02		899711	2012-07-05
ARE	Emirates Telecom Corp-ETISALAT	ETISALAT	ETISALAT	ETISALAT	900 (GSM)	424	02	6	899711	2013-08-06
ARG	AMX Argentina S.A.	CLARO ARGENTINA	CLARO ARGENTINA	CLARO AR	1900 (GSM)	722	310	4	8954310	2008-03-18
ARG	AMX Argentina S.A.	CLARO ARGENTINA	CLARO ARGENTINA	CLARO AR	850 (GSM)	722	310	4	8954310	2008-03-18
ARG	Telecom Personal SA	Personal	AR PERSONAL	AR TP	1900 (GSM)	722	341	"0,1"	8954341	2012-07-05
ARG	Telecom Personal SA	Personal	AR PERSONAL	AR TP	850 (GSM)	722	341	"0,1"	8954341	2012-07-05
ARG	Telef?nica M?viles Argentina S.A.	Movistar	Movistar	Movistar	850 (GSM)	722	010	7	 895401	2014-10-07
ARG	Telef?nica M?viles Argentina S.A.	Movistar	Movistar	Movistar	1900 (GSM)	722	07	7	895407	2014-10-07
ARM	ArmenTel	ARMGSM	Beeline AM	Beeline	1800 (GSM)	283	01	"0,1,2"	8937401	2012-02-22
ARM	ArmenTel	ARMGSM	Beeline AM	Beeline	900 (GSM)	283	01	"0,1,2"	8937401	2012-02-22
ARM	K Telecom CJSC	MTS Armenia	MTS ARM	MTS Arm	1800 (GSM)	283	05	"0,5"	8937405	2012-02-21
ARM	K Telecom CJSC	MTS Armenia	MTS ARM	MTS Arm	900 (GSM)	283	05	"0,5"	8937405	2012-02-21
ARM	K Telecom CJSC	MTS Armenia	MTS ARM	MTS Arm	2100 (3G)	283	05		8937405	2012-07-05
ARM	K Telecom CJSC	MTS Armenia	MTS ARM	MTS Arm	1900 (3G)	283	05		8937405	2012-07-05
ARM	Orange Armenia CJSC	Orange	Orange AM	Orange	2100 (3G)	283	10		8937410	2012-03-26
ARM	Orange Armenia CJSC	Orange	Orange AM	Orange	900 (3G)	283	10		8937410	2012-03-26
ARM	Orange Armenia CJSC	Orange	Orange AM	Orange	1800 (GSM)	283	10		8937410	2012-03-26
ARM	Orange Armenia CJSC	Orange	Orange AM	Orange	900 (GSM)	283	10		8937410	2012-03-26
ASM	"American Samoa License, Inc."	BLUESKY	Bluesky Communications	BLUESKY	850 (3G)	544	110		891684	2012-03-26
ASM	"American Samoa License, Inc."	BLUESKY	Bluesky Communications	BLUESKY	850 (GSM)	544	110		891684	2012-05-02
ASM	"American Samoa License, Inc."	BLUESKY	Bluesky Communications	BLUESKY	1900 (GSM)	544	110		891684	2012-05-02
ATG	Antigua Public Utilities Authority (APUA)	APUA imobile	APUA imobile	imobile	1900 (GSM)	344	030	"0,1"	8901030	2012-02-21
ATG	Antigua Wireless Ventures Limited	Digicel Antigua & Barbuda	Cingular	Cingular	900 (GSM)	344	930		891380	2014-10-07
ATG	Cable & Wireless Antigua and Barbuda Ltd	LIME	LIME	LIME	850 (GSM)	344	920		8901011	2012-05-18
AUS	SingTel Optus Pty Limited	YES OPTUS	YES OPTUS	Optus	900 (3G)	505	02		896102	2014-10-07
AUS	SingTel Optus Pty Limited	YES OPTUS	YES OPTUS	Optus	2100 (3G)	505	02		896102	2014-10-07
AUS	SingTel Optus Pty Limited	YES OPTUS	YES OPTUS	Optus	1800 (GSM)	505	02	"4,5"	896102	2014-10-07
AUS	SingTel Optus Pty Limited	YES OPTUS	YES OPTUS	Optus	700 (LTE)	505	02		896102	2014-10-07
AUS	SingTel Optus Pty Limited	YES OPTUS	YES OPTUS	Optus	900 (GSM)	505	02	"4,5"	896102	2014-10-07
AUS	Telstra Corporation Limited	Telstra MobileNet	Telstra Mobile	Telstra	900 (GSM)	505	01	0	896101	2014-07-21
AUS	Telstra Corporation Limited	Telstra MobileNet	Telstra Mobile	Telstra	1800 (LTE)	505	01		896101	2014-07-21
AUS	Telstra Corporation Limited	Telstra MobileNet	Telstra Mobile	Telstra	2100 (3G)	505	01		896101	2014-07-21
AUS	Telstra Corporation Limited	Telstra MobileNet	Telstra Mobile	Telstra	850 (3G)	505	01		896101	2014-07-21
AUS	Telstra Corporation Limited	Telstra MobileNet	Telstra Mobile	Telstra	1800 (GSM)	505	01	0	896101	2014-07-21
AUS	Vodafone Pacific Limited	Hutchison 3G Australia Pty	3TELSTRA	3TELSTRA	2100 (3G)	505	06		896106	2005-01-24
AUS	Vodafone Pacific Limited	Vodafone	vodafone AU	voda AU	900 (GSM)	505	03	2	896103	2013-04-09
AUS	Vodafone Pacific Limited	Vodafone	vodafone AU	voda AU	1800 (GSM)	505	03	2	896103	2013-04-09
AUT	A1 Telekom Austria AG 	A1	A1	A1	1800 (GSM)	232	01	"0,4"	894301	2014-06-09
AUT	A1 Telekom Austria AG 	A1	A1	A1	2100 (3G)	232	01		894301	2014-06-09
AUT	A1 Telekom Austria AG 	A1	A1	A1	2600 (LTE)	232	01		894301	2014-06-09
AUT	A1 Telekom Austria AG 	A1	A1	A1	900 (GSM)	232	01	"0,4"	894301	2014-06-09
AUT	A1 Telekom Austria AG 	A1	A1	A1	2100 (3G)	232	12		894301	2014-06-09
AUT	A1 Telekom Austria AG 	A1	A1	A1	900 (GSM)	232	12	"0,4"	894301	2014-06-09
AUT	A1 Telekom Austria AG 	A1	A1	A1	1800 (GSM)	232	12	"0,4"	894301	2014-06-09
AUT	A1 Telekom Austria AG 	A1	A1	A1	800 (LTE)	232	01		894301	2014-06-09
AUT	Hutchison Drei Austria GmbH	3 AT	3 AT	3 AT	1800 (LTE)	232	05		894305	2014-12-03
AUT	Hutchison Drei Austria GmbH	3 AT	3 AT	3 AT	1800 (GSM)	232	05	"0,4"	894305	2014-12-03
AUT	Hutchison Drei Austria GmbH	3 AT	3 AT	3 AT	2100 (3G)	232	05		894305	2014-12-03
AUT	Hutchison Drei Austria GmbH	3 AT	3 AT	3 AT	1800  (LTE)	232	10		894310	2014-12-03
AUT	Hutchison Drei Austria GmbH	3 AT	3 AT	3 AT	2100 (3G)	232	10		894310	2014-12-03
AUT	Hutchison Drei Austria GmbH	3 AT	3 AT	3 AT	900 (GSM)	232	05	0.4	894305	2014-12-03
AUT	Hutchison Drei Austria GmbH	3 AT	3 AT	3 AT	2600 (LTE)	232	10		894310	2014-12-03
AUT	Hutchison Drei Austria GmbH	3 AT	3 AT	3 AT	2600 (LTE)	232	05		894305	2014-12-03
AUT	T-Mobile Austria GmbH	T-Mobile Austria	T-Mobile A	TMA	1800 (GSM)	232	03	"0,4"	894303	2014-05-08
AUT	T-Mobile Austria GmbH	T-Mobile Austria	T-Mobile A	TMA	900 (GSM)	232	03	"0,4"	894303	2014-05-08
AUT	T-Mobile Austria GmbH	T-Mobile Austria	T-Mobile A	TMA	2100 (3G)	232	03		894303	2014-05-08
AUT	T-Mobile Austria GmbH	Tele-ring	telering	telering	1800 (GSM)	232	07	"0,4"	894307	2014-05-08
AUT	T-Mobile Austria GmbH	Tele-ring	telering	telering	2100 (3G)	232	07		894307	2014-05-08
AUT	T-Mobile Austria GmbH	Tele-ring	telering	telering	900 (GSM)	232	07	"0,4"	894307	2014-05-08
AZE	Azercell Telecom LLC	AZERCELL GSM	AZE - AZERCELL GSM	ACELL	900 (GSM)	400	01	1	8999401	2003-07-09
AZE	Azercell Telecom LLC	AZERCELL GSM	AZE - AZERCELL GSM	ACELL	2100 (3G)	400	01		8999401	2012-10-04
AZE	Azerfon LLC	Nar Mobile	AZ Nar	Nar	1800 (GSM)	400	04	"4,5"	8999404	2012-02-23
AZE	Azerfon LLC	Nar Mobile	AZ Nar	Nar	2100 (3G)	400	04		8999404	2012-07-05
AZE	Bakcell Limited Liable Company	Bakcell LLC	BAKCELL AZ	BAKCELL	2100 (3G)	400	02		8999455	2014-04-17
AZE	Bakcell Limited Liable Company	Bakcell LLC	BAKCELL AZ	BAKCELL	1800 (GSM)	400	02	3	8999455	2014-04-17
AZE	Bakcell Limited Liable Company	Bakcell LLC	BAKCELL AZ	BAKCELL	900 (GSM)	400	02	3	8999455	2014-04-17
BDI	Africell PLC Company	AFRICELL PLC COMPANY	BDI TEMPO-AFRICELL	TEMPO-AF	900 (GSM)	642	02	"0,4"	8925702	2012-03-28
BDI	Econet Wireless Burundi PLC	Econet Wireless Burundi	BDI ECONET	EWB	2100 (3G)	642	01		8964201	2012-09-25
BDI	Econet Wireless Burundi PLC	Econet Wireless Burundi	BDI ECONET	EWB	1900 (3G)	642	01		8964201	2012-09-25
BDI	Econet Wireless Burundi PLC	Econet Wireless Burundi	BDI ECONET	EWB	900 (GSM)	642	01	7	8964201	2012-09-25
BDI	Econet Wireless Burundi PLC	Econet Wireless Burundi	BDI ECONET	EWB	1800 (GSM)	642	01	7	8964201	2012-09-25
BDI	LACELL SU	Smart Mobile	SMART	SMART	1800 (GSM)	642	07	3	8925707	2009-05-25
BDI	ONATEL	ONATEL	ONATEL BDI	ONATEL	900 (GSM)	642	03	5	8964203	2005-07-07
BDI	U-Com Burundi S.A.	U-COM Burundi	TELECEL-BDI	BDITL	900 (GSM)	642	82	"0,3"	8925782	2014-08-15
BEL	BASE Company NV/SA	BASE Company NV/SA	BASE	BASE	2100 (3G)	206	20		8932030	2014-10-02
BEL	BASE Company NV/SA	BASE Company NV/SA	BASE	BASE	1800 (GSM)	206	20	2	8932030	2014-10-02
BEL	BASE Company NV/SA	BASE Company NV/SA	BASE	BASE	1800 (LTE)	206	20		8932030	2014-10-02
BEL	BASE Company NV/SA	BASE Company NV/SA	BASE	BASE	900 (GSM)	206	20	2	8932030	2014-10-02
BEL	Belgacom SA/NV	PROXIMUS	BEL PROXIMUS	PROXI	1800 (GSM)	206	01	1	893200	2003-06-03
BEL	Belgacom SA/NV	PROXIMUS	BEL PROXIMUS	PROXI	900 (GSM)	206	01	1	893200	2003-06-03
BEL	Mobistar S.A.	Mobistar	B mobistar	mobi*	1800 (GSM)	206	10	5	893202	2014-04-17
BEL	Mobistar S.A.	Mobistar	B mobistar	mobi*	2100 (3G)	206	10		893202	2014-04-17
BEL	Mobistar S.A.	Mobistar	B mobistar	mobi*	900 (GSM)	206	10	5	893202	2014-04-17
BEN	Bell Benin Communications (BBCOM)	Bell Benin Communication BBCOM	BELL BENIN COMMUNICATION	BBCOM	1800 (GSM)	616	04	3	8922904	2012-01-31
BEN	Bell Benin Communications (BBCOM)	Bell Benin Communication BBCOM	BELL BENIN COMMUNICATION	BBCOM	900 (GSM)	616	04	3	8922904	2012-01-31
BEN	Etisalat Benin S.A	ETISALAT BENIN	ETISALAT BENIN	ETISALAT	900 (GSM)	616	02	4	8922902	2012-01-25
BEN	Glomobile Benin Limited	GloBenin	GloBenin	GloBenin	900 (GSM)	616	05	5	8922905	2007-12-11
BEN	Glomobile Benin Limited	GloBenin	GloBenin	GloBenin	1800 (GSM)	616	05	5	8922905	2007-12-11
BEN	Spacetel-Benin	Spacetel-Benin	MTN BENIN	MTNBENIN	900 (GSM)	616	03	7	8922903	2014-06-13
BEN	Spacetel-Benin	Spacetel-Benin	MTN BENIN	MTNBENIN	1800 (GSM)	616	03	7	8922903	2014-06-13
BFA	Airtel Burkina Faso S.A.	Airtel	Airtel	Airtel	900 (GSM)	613	02	"0,5"	8922602	2014-07-21
BGD	Airtel Bangladesh Limited	Airtel	Airtel	Airtel	1800 (GSM)	470	07		8947007	2013-02-20
BGD	Banglalink Digital Communications Ltd.	Banglalink	Banglalink	B-LINK	900 (GSM)	470	03		8988033	2014-03-20
BGD	Grameenphone Ltd	Grameenphone	Grameenphone	Grameen	900 (GSM)	470	01	"0,4"	898801	2012-04-18
BGD	Grameenphone Ltd	Grameenphone	Grameenphone	Grameen	1800 (GSM)	470	01	"0,4"	898801	2012-04-18
BGD	Robi Axiata Limited	Robi	BGD ROBI AXIATA	ROBI	900 (GSM)	470	0		8988002	2014-07-02
BGD	Teletalk Bangladesh Ltd	Teletalk Bangladesh Ltd	BGD bMobile	bMobile	900 (GSM)	470	04	"0,7"	8947015	2012-04-24
BGR	Bulgarian Telecommunications Company AD	Vivacom	Vivacom	Vivacom	1800 (GSM)	284	03	4	8935903	2012-04-24
BGR	Bulgarian Telecommunications Company AD	Vivacom	Vivacom	Vivacom	900 (GSM)	284	03	4	8935903	2012-04-24
BGR	Bulgarian Telecommunications Company AD	Vivacom	Vivacom	Vivacom	2100 (3G)	284	03		8935903	2012-04-19
BGR	Bulgarian Telecommunications Company AD	Vivacom	Vivacom	Vivacom	900 (3G)	284	03		8935903	2012-04-19
BGR	Mobiltel EAD	Mobiltel EAD	Mtel	Mtel	900 (GSM)	284	01		8935901	2014-04-22
BGR	Mobiltel EAD	Mobiltel EAD	Mtel	Mtel	2100 (3G)	284	01		8935901	2014-04-22
BGR	Mobiltel EAD	Mobiltel EAD	Mtel	Mtel	1800 (GSM)	284	01	1	8935901	2014-04-22
BGR	Mobiltel EAD	Mobiltel EAD	Mtel	Mtel	900 (3G)	284	01		8935901	2014-04-22
BGR	Telenor Bulgaria EAD	Telenor	Telenor BG	Telenor 	2100 (3G)	284	05		8935905	2014-11-07
BGR	Telenor Bulgaria EAD	Telenor	Telenor BG	Telenor 	900 (GSM)	284	05	5	8935905	2014-11-07
BGR	Telenor Bulgaria EAD	Telenor	Telenor BG	Telenor 	1800 (GSM)	284	05	5	8935905	2014-11-07
BGR	Telenor Bulgaria EAD	Telenor	Telenor BG	Telenor 	900 (3G)	284	05		8935905	2014-11-07
BHR	Bahrain Telecommunications Company	BATELCO	BATELCO	BATELCO	900 (GSM)	426	01	3	8997301	2001-07-31
BHR	VIVA Bahrain B.S.C. Closed	VIVA	VIVA BH	VIVA BH	2100 (3G)	426	04		8997304	2010-03-19
BHR	VIVA Bahrain B.S.C. Closed	VIVA	VIVA BH	VIVA BH	1800 (GSM)	426	04		8997304	2010-03-19
BHR	Zain Bahrain B.S.C	Zain BH	Zain BH	Zain BH	2100 (3G)	426	02		8997302	2012-07-05
BHR	Zain Bahrain B.S.C	Zain BH	Zain BH	Zain BH	900 (GSM)	426	02	"0,1"	8997302	2012-04-25
BHR	Zain Bahrain B.S.C	Zain BH	Zain BH	Zain BH	1800 (GSM)	426	02	"0,1"	8997302	2012-04-25
BHS	The Bahamas Telecommunications Company Ltd.	The Bahamas Telecommunications Company Ltd	BTC	BTC	850 (3G)	364	39		891282	2014-10-31
BHS	The Bahamas Telecommunications Company Ltd.	The Bahamas Telecommunications Company Ltd	BTC	BTC	1900 (GSM)	364	39		891282	2014-10-31
BIH	"BH Telecom, Joint Stock Company, Sarajevo"	BH Mobile	BH Mobile	BHMobile	1800 (GSM)	218	90		8938701	2012-07-05
BIH	"BH Telecom, Joint Stock Company, Sarajevo"	BH Mobile	BH Mobile	BHMobile	900 (GSM)	218	90		8938701	2012-07-05
BIH	"BH Telecom, Joint Stock Company, Sarajevo"	BH Mobile	BH Mobile	BHMobile	2100 (3G)	218	90		8938701	2012-12-19
BIH	Public Enterprise Croatian Telecom JSC	Croatian Telecom Inc	HT HR	HT HR	2100  (3G)	219	01		8938598	2014-07-28
BIH	Public Enterprise Croatian Telecom JSC	Croatian Telecom Inc	HT HR	HT HR	900 (GSM)	219	01		8938598	2014-07-28
BIH	RS Telecommunications  JSC Banja Luka	m:tel	m:tel	m:tel	900 (GSM)	218	05	6	8938705	2014-12-16
BIH	RS Telecommunications  JSC Banja Luka	m:tel	m:tel	m:tel	2100 (3G)	218	05		8938705	2014-12-16
BIH	RS Telecommunications  JSC Banja Luka	m:tel	m:tel	m:tel	1800 (GSM)	218	05	6	8938705	2014-12-16
BLR	Belarusian Telecommunications Network CJSC	Belarusian Telecommunications Network CJSC	life:) BY	life:)BY	2100 (3G)	257	04		8937503	2014-06-13
BLR	Belarusian Telecommunications Network CJSC	Belarusian Telecommunications Network CJSC	life:) BY	life:)BY	1800 (GSM)	257	04		8937503	2014-06-13
BLR	Belarusian Telecommunications Network CJSC	Belarusian Telecommunications Network CJSC	life:) BY	life:)BY	900 (GSM)	257	04		8937503	2014-06-13
BLR	JLLC Mobile TeleSystems	MTS	MTS BY	MTS	900 (GSM)	257	02	1	8937502	2004-04-13
BLR	JLLC Mobile TeleSystems	MTS	MTS BY	MTS	1800 (GSM)	257	02	1	8937502	2004-04-13
BLR	Unitary enterprise velcom	VELCOM	BY VELCOM	VELCOM	1800 (GSM)	257	01	0	8937501	2014-05-07
BLR	Unitary enterprise velcom	VELCOM	BY VELCOM	VELCOM	900 (GSM)	257	01	0	8937501	2014-05-07
BLZ	Belize Telemedia Limited	Belize Telecommunications	BTL	BTL	1900 (GSM)	702	67	"0,1"	8950167	2012-05-09
BMU	Bermuda Digital Communications Limited	CELLONE	CELLONE	CELLONE	850 (3G)	350	000		891351	2012-10-03
BMU	Bermuda Digital Communications Limited	CELLONE	CELLONE	CELLONE	1900 (GSM)	350	000		891351	2012-10-03
BMU	Telecommunications (Bermuda & West Indies) Ltd	Digicel Bermuda	Cingular	Cingular	2100 (3G)	350	010		89310380	2014-10-07
BMU	Telecommunications (Bermuda & West Indies) Ltd	Digicel Bermuda	Cingular	Cingular	1900 (GSM)	350	010		89310380	2014-10-07
BOL	Entel SA	Entel	BOMOV	EMOVIL	1800 (GSM)	736	02	2	8959102	2004-04-13
BOL	Entel SA	Entel	BOMOV	EMOVIL	900 (GSM)	736	02	2	8959102	2004-04-13
BOL	Entel SA	Entel	BOMOV	EMOVIL	850 (3G)	736	02	2	8959102	2012-12-17
BOL	Nuevatel PCS De Bolivia SA	Nuevatel PCS De Bolivia	VIVA	VIVA	1900 (GSM)	736	01	1	8959101	2007-04-23
BOL	Telefonica Celular de Bolivia S.A.	TIGO BOLIVIA	TIGO	TIGO	850 (GSM)	736	03	1	8959103	2014-06-03
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	900 (GSM)	724	34		895534	2014-05-07
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	900 (GSM)	724	32		895000	2014-05-07
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	1800 (GSM)	724	34		895534	2014-05-07
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	900 (GSM)	724	33		895533	2014-05-07
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	1800 (GSM)	724	32		895000	2014-05-07
BRA	Algar Telecom S.A.	Algar Telecom	Algar Telecom	Algar	1800 (GSM)	724	33		895533	2014-05-07
BRA	Claro S.A	Claro	Claro	Claro	850 (3G)	724	05		8955053	2014-06-13
BRA	Claro S.A	Claro	Claro	Claro	1800 (GSM)	724	05		8955050	2014-06-13
BRA	Claro S.A	Claro	Claro	Claro	2100 (3G)	724	05		8955053	2014-06-13
BRA	Claro S.A	Claro	Claro	Claro	2600 (LTE)	724	05		8955053	2014-06-13
BRA	Claro S.A	Claro	Claro	Claro	900 (GSM)	724	05		8955050	2014-06-13
BRA	Nextel Servi?os de Telecomunica??es Ltda	Nextel Brasil	Nextel Brasil	Nextel	2100 (3G)	724	39		895563	2014-07-02
BRA	Nextel Servi?os de Telecomunica??es Ltda	Nextel Brasil	Nextel Brasil	Nextel	1900 (3G)	724	39		895563	2014-07-02
BRA	Oi M?vel S.A	Oi	Oi	Oi	1800 (GSM)	724	24		895524	2014-06-09
BRA	Oi M?vel S.A	Oi	Oi	Oi	1800 (GSM)	724	31		895531	2014-06-09
BRA	Oi M?vel S.A	Oi	Oi	Oi	1800 (GSM)	724	16		895516	2014-06-09
BRA	Oi M?vel S.A	Oi	Oi	Oi	900 (GSM)	724	24		895524	2014-06-09
BRA	Sercomtel Celular S/A	Sercomtel Celular S/A	BRA SCTL	SCTL	850 (3G)	724	15		895515	2012-05-23
BRA	Sercomtel Celular S/A	Sercomtel Celular S/A	BRA SCTL	SCTL	1800 (GSM)	724	15	"0,4"	895515	2012-05-18
BRA	Sercomtel Celular S/A	Sercomtel Celular S/A	BRA SCTL	SCTL	900 (GSM)	724	15	"0,4"	895515	2012-05-18
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	1800 (GSM)	724	03	"0,2"	8955	2014-10-07
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	2100 (3G)	724	02		8955	2014-10-07
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	1800 (GSM)	724	02	"0,2"	8955	2014-10-07
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	850 (3G)	724	02		8955	2014-10-07
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	2100 (3G)	724	03		8955	2014-10-07
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	1800 (GSM)	724	04	"0,2"	8955	2014-10-07
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	850 (3G)	724	03		8955	2014-10-07
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	2100 (3G)	724	04		8955	2014-10-07
BRA	TIM Celular S.A.	TIM BRASIL	TIM BRASIL	TIM	850 (3G)	724	04		8955	2014-10-07
BRA	Vivo S.A.	Vivo	VIVO	VIVO	2600 (LTE)	724	06		895506	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	2100 (3G)	724	10		895510	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	2600 (LTE)	724	23		895523	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	850 (3G)	724	06		895506	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	2100 (3G)	724	06		895506	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	1900 (GSM)	724	06		895506	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	900 (GSM)	724	06		895506	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	1800 (GSM)	724	06		895506	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	700 (LTE)	724	11		895511	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	700 (LTE)	724	10		 895510	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	700 (LTE)	724	06		895506	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	850 (3G)	724	11		895511	2014-11-18
